token_address,alerted_at,final_score,smart_money_detected,first_alert_at,last_checked_at,first_price_usd,first_market_cap_usd,first_liquidity_usd,last_price_usd,last_market_cap_usd,last_liquidity_usd,last_volume_24h_usd,peak_price_usd,peak_market_cap_usd,peak_volume_24h_usd,peak_price_at,peak_market_cap_at,outcome,outcome_at,peak_drawdown_pct,peak_x_price,peak_x_mcap,time_to_peak_price_s,time_to_peak_mcap_s
EMg2QkFZ6pLvgckVGj8X6nmyrkiuoamYnTdoxXN8pump,2025-09-25 22:38:46,8,1,2025-09-25 22:38:46,2025-09-26 06:38:40,0.001049,1049581.0,134303.18,0.001407,1407493.0,156301.26,1277705.05,0.001407,1407493.0,1670939.88,2025-09-26 06:38:40,2025-09-26 06:38:40,,,,1.3412774070543374,1.3410046485216482,28794,28794
6ZVAjJzXGEF7pH6WzerwgEnsd97FuzgHvF6XvuKibonk,2025-09-25 22:40:53,10,1,2025-09-25 22:40:53,2025-09-26 06:38:41,2.642e-05,26425.85,0.0,6.995e-06,6995.93,0.0,179172.62,2.642e-05,26425.85,179172.62,2025-09-25 22:40:53,2025-09-25 22:40:53,rug,2025-09-26 00:36:50,55.14761544284633,1.0,1.0,0,0
HBukB9DLbdTM6nNHQQ6JvVmjx7UmuMpDJAU9oX8tpump,2025-09-25 22:43:00,10,1,2025-09-25 22:43:00,2025-09-26 06:38:42,0.0002521,252199.0,60877.87,0.0001323,132387.0,45140.64,1412102.74,0.0002521,252199.0,1412102.74,2025-09-25 22:43:00,2025-09-25 22:43:00,,,,1.0,1.0,0,0
8oRpiDdQhLTV2SmscjKp4SWdZ9as2C3kZdTj4qVvbonk,2025-09-25 22:49:24,8,1,2025-09-25 22:49:24,2025-09-26 06:38:43,0.0001219,121915.0,39472.48,3.945e-05,39452.0,22676.65,1126156.22,0.0001219,121915.0,1345341.23,2025-09-25 22:49:24,2025-09-25 22:49:24,,,,1.0,1.0,0,0
6jnGFtSVx4caXkNhumbRpzAuW72XMSZcU4wEHFxdbonk,2025-09-25 22:51:35,9,1,2025-09-25 22:51:35,2025-09-26 06:38:43,0.0003609,360881.0,64340.79,0.0003255,325525.0,61501.22,1496961.38,0.0003647,364695.0,1859647.41,2025-09-26 00:36:51,2025-09-26 00:36:51,,,,1.0105292324743695,1.0105685807787055,6316,6316
7UgmCpkZMMQBUajCfhrtiJXZ1wPuMidEB4DnA6aUpump,2025-09-25 22:53:45,10,1,2025-09-25 22:53:45,2025-09-26 06:38:44,5.568e-05,55683.22,0.0,1.14e-05,11410.0,12685.24,363831.15,5.568e-05,55683.22,363831.15,2025-09-25 22:53:45,2025-09-25 22:53:45,,,,1.0,1.0,0,0
5ThrLJDFpJqaFL36AvAX8ECZmz6n4vZvqMYvpHHkpump,2025-09-25 22:54:52,10,1,2025-09-25 22:54:52,2025-09-26 07:38:55,5.286e-05,52862.5,0.0,0.000185,185032.0,50792.67,334402.42,0.000185,185032.0,334402.42,2025-09-26 07:38:55,2025-09-26 07:38:55,,,,3.499810821036701,3.5002506502719317,31443,31443
q29umWshmh2fmm1CdRb4cBKhqtW9xX25ezNQi7Bpump,2025-09-25 22:59:10,8,1,2025-09-25 22:59:10,2025-09-26 07:38:56,0.0007092,709190.0,129007.74,0.0006876,687644.0,127273.91,182984.88,0.0007092,709190.0,228568.86,2025-09-25 22:59:10,2025-09-25 22:59:10,,,,1.0,1.0,0,0
7W4geAJyy7hxuPXESMMBaW8Zi4MbhVN9uvt6BJ2SEPAV,2025-09-25 23:02:23,8,1,2025-09-25 23:02:23,2025-09-26 07:38:58,0.004144,4118265.0,275858.72,0.007712,7664460.0,384262.53,7224840.34,0.007867,7818942.0,7591941.23,2025-09-26 05:38:25,2025-09-26 05:38:25,,,,1.8984073359073361,1.8986009885230795,23762,23762
9EnydDKQL2KeE4Eq9FcWuDMpaBs8q4iyt2MPayWSpump,2025-09-25 23:05:33,10,1,2025-09-25 23:05:33,2025-09-26 07:38:59,0.001009,953030.0,156407.72,0.0009033,852848.0,147684.1,1061165.49,0.001117,1055328.0,1411766.94,2025-09-26 00:36:52,2025-09-26 00:36:52,,,,1.1070366699702676,1.1073397479617642,5479,5479
2xsLr5Q3JXP7JG6FbHC7PafyqhwMzYtJ3YCVhaa8pump,2025-09-25 23:07:41,10,1,2025-09-25 23:07:41,2025-09-26 07:38:59,4.136e-05,41360.32,0.0,4.744e-05,47441.24,0.0,353587.76,4.888e-05,48885.74,353587.76,2025-09-26 05:38:26,2025-09-26 05:38:26,rug,2025-09-26 00:36:52,22.195357833655706,1.1818181818181819,1.1819478185855428,23445,23445
V5cCiSixPLAiEDX2zZquT5VuLm4prr5t35PWmjNpump,2025-09-25 23:18:21,8,1,2025-09-25 23:18:21,2025-09-26 07:38:59,0.001903,1903709.0,251009.82,0.001768,1768099.0,241954.3,675029.99,0.00205,2050523.0,698990.21,2025-09-26 03:37:32,2025-09-26 03:37:32,,,,1.0772464529689965,1.0771199799969429,15551,15551
7EFshnG4J6UemhyYPJgE4mJwtHY2S3PkUkK9k4kypump,2025-09-25 23:29:04,10,1,2025-09-25 23:29:04,2025-09-26 07:39:00,2.884e-05,28844.13,0.0,5.546e-06,5546.82,0.0,84565.15,2.884e-05,28844.13,84565.15,2025-09-25 23:29:04,2025-09-25 23:29:04,rug,2025-09-26 00:36:54,80.90846047156727,1.0,1.0,0,0
J2eaKn35rp82T6RFEsNK9CLRHEKV9BLXjedFM3q6pump,2025-09-25 23:34:25,8,1,2025-09-25 23:34:25,2025-09-26 07:39:00,0.0008602,860165.0,140817.88,0.0007506,750645.0,132012.37,236887.01,0.0008602,860165.0,248782.39,2025-09-25 23:34:25,2025-09-25 23:34:25,,,,1.0,1.0,0,0
GWaD6wcxSZFwXApoY56x6Cxiqs5sAvtQNdcUvz7Zbonk,2025-09-25 23:35:30,10,1,2025-09-25 23:35:30,2025-09-26 07:39:00,0.006041,60415.66,0.0,0.01257,125749.0,37665.07,832279.79,0.03351,335136.0,832279.79,2025-09-26 03:37:33,2025-09-26 03:37:33,,,,5.547094851845721,5.547171048036221,14523,14523
2LsescRjhcxoUwEQLpcsd3Gh6AHUyqEHANDakkoSpump,2025-09-25 23:37:38,8,1,2025-09-25 23:37:38,2025-09-26 06:38:38,0.0005245,524522.0,142807.26,0.0005234,523352.0,144012.01,863357.48,0.0005896,589556.0,863357.48,2025-09-26 04:38:00,2025-09-26 04:38:00,,,,1.1241182078169685,1.1239871730833024,18022,18022
AigqqAyxV1quPYjskhpoYEK3szVRDKcHmiaFj3rXpump,2025-09-25 23:42:54,8,1,2025-09-25 23:42:54,2025-09-26 06:38:39,0.0002471,247174.0,59709.73,0.0002716,271662.0,63183.86,159346.43,0.0002716,271662.0,159346.43,2025-09-26 06:38:39,2025-09-26 06:38:39,,,,1.0991501416430596,1.0990719088577277,24945,24945
DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,2025-09-26 00:00:41,8,1,2025-09-26 00:00:41,2025-09-26 06:38:39,0.002414,1876789.0,244103.25,0.001649,1281718.0,205115.71,6118189.27,0.002414,1876789.0,6118189.27,2025-09-26 00:00:41,2025-09-26 00:00:41,,,,1.0,1.0,0,0
4BMWRdtqMYs88mdEqcBVUja8vd22AYiguBoFLpGmbonk,2025-09-26 00:09:04,8,1,2025-09-26 00:09:04,2025-09-26 06:38:40,0.0001049,104966.0,34914.51,0.0003201,320102.0,61111.43,618678.53,0.0003201,320102.0,618678.53,2025-09-26 06:38:40,2025-09-26 06:38:40,,,,3.0514775977121062,3.0495779585770633,23376,23376
rWbmAbJUPJUMB3EzcQTLt923mMj6X6u7afeJc23bonk,2025-09-26 00:13:18,10,1,2025-09-26 00:13:18,2025-09-26 06:38:40,6.041e-05,60415.66,0.0,6.413e-06,6414.0,8499.25,515486.76,6.906e-05,69061.0,515486.76,2025-09-26 01:37:06,2025-09-26 01:37:06,rug,2025-09-26 06:38:40,90.71387199536635,1.1431882138718756,1.143097667061818,5028,5028
8v2URPQiVgN4QUry9jaqAwKumd5x9Ye68o5oYNj3pump,2025-09-26 00:15:23,10,1,2025-09-26 00:15:23,2025-09-26 06:38:42,7.97e-05,79702.54,0.0,1.693e-05,16923.0,15315.54,123790.12,7.97e-05,79702.54,123790.12,2025-09-26 00:15:23,2025-09-26 00:15:23,,,,1.0,1.0,0,0
AufjSxXopMZn7EeX21ifncGPKQ2BH6FaiRpFu6gDpump,2025-09-26 00:26:47,10,1,2025-09-26 00:26:47,2025-09-26 06:38:42,8.011e-05,80117.52,0.0,0.0004896,489644.0,84698.45,828802.45,0.0004896,489644.0,828802.45,2025-09-26 06:38:42,2025-09-26 06:38:42,,,,6.111596554737235,6.111572100584241,22315,22315
B7NPUGvxC8BUF5a8BdxurBNxCjV3HwyN6DaRivtqNAjB,2025-09-26 00:32:04,9,1,2025-09-26 00:32:04,2025-09-26 06:38:44,2.112e-11,901697.0,172901.94,1.321e-11,564280.0,137889.67,1124473.51,2.112e-11,901697.0,1124473.51,2025-09-26 00:32:04,2025-09-26 00:32:04,,,,1.0,1.0,0,0
GEHJx1yb83BDdjWp6UJWWann9aAkVKwvzU49Qp7jpump,2025-09-26 00:41:35,10,1,2025-09-26 00:41:35,2025-09-26 05:38:31,0.0007839,783941.0,109433.23,0.0003174,317456.0,70956.65,2276532.13,0.0007839,783941.0,2276532.13,2025-09-26 00:41:35,2025-09-26 00:41:35,,,,1.0,1.0,0,0
8fxs3dtsKabfXGiVHCijWE3ewyEJh4viVh1KERLCdrTT,2025-09-26 00:44:43,10,1,2025-09-26 00:44:43,2025-09-26 05:38:31,0.0001728,172800.0,52067.07,0.0002317,231746.0,61363.06,2374430.51,0.0003478,347796.0,2374430.51,2025-09-26 02:37:13,2025-09-26 02:37:13,,,,2.0127314814814814,2.0127083333333333,6750,6750
76rTxzztXjJe7AUaBi7jQ5J61MFgpQgB4Cc934sWbonk,2025-09-26 00:48:52,8,1,2025-09-26 00:48:52,2025-09-26 05:38:31,0.003439,3439456.0,393204.85,0.002925,2925287.0,365824.14,1041316.46,0.003439,3439456.0,1252211.34,2025-09-26 00:48:52,2025-09-26 00:48:52,,,,1.0,1.0,0,0
5wVtfsFhLjxm27K9mN3ziYWCCpQwXXq7HWUiRMW7pump,2025-09-26 00:54:06,9,1,2025-09-26 00:54:06,2025-09-26 05:38:32,0.0006255,625498.0,121129.88,0.0006361,636188.0,122868.33,421253.02,0.0006361,636188.0,449064.07,2025-09-26 05:38:32,2025-09-26 05:38:32,,,,1.0169464428457236,1.017090382383317,17066,17066
DUgEVBVJukYsw5BDnM81T2c6PZ1aCnk9zQJ5guJdpump,2025-09-26 01:04:34,8,1,2025-09-26 01:04:34,2025-09-26 05:38:32,0.001233,1233670.0,143247.48,0.001308,1308191.0,148045.03,257794.39,0.001427,1427364.0,315096.28,2025-09-26 02:37:14,2025-09-26 02:37:14,,,,1.1573398215733983,1.1570063307043212,5560,5560
4d1HVVAx224ziDijGcf7YjN49rZ2M2f2BW5mKvotD3y1,2025-09-26 01:18:10,10,1,2025-09-26 01:18:10,2025-09-26 05:38:32,2e-05,20004.0,14504.92,2.718e-05,27188.0,16974.1,750370.36,2.718e-05,27188.0,750370.36,2025-09-26 05:38:32,2025-09-26 05:38:32,,,,1.359,1.359128174365127,15622,15622
ELusVXzUPHyAuPB3M7qemr2Y2KshiWnGXauK17XYpump,2025-09-26 01:22:20,8,1,2025-09-26 01:22:20,2025-09-26 05:38:32,0.000515,515033.0,90959.03,0.0006777,677701.0,104330.04,364053.97,0.0006777,677701.0,584591.58,2025-09-26 05:38:32,2025-09-26 05:38:32,,,,1.3159223300970873,1.3158399558863219,15372,15372
9Poxe5aDkt8ggFWvcYZ9AX8QBBAAdgW844cgooNCULT,2025-09-26 01:23:25,9,1,2025-09-26 01:23:25,2025-09-26 05:38:33,0.0001324,132414.0,62486.47,0.0001722,172264.0,68156.46,321233.29,0.0001862,186253.0,351419.73,2025-09-26 02:37:15,2025-09-26 02:37:15,,,,1.406344410876133,1.4065959792771157,4430,4430
6NqgJiWQLVznisyn1ytHEtQkC52sQf4t1b732Qvvpump,2025-09-26 01:26:33,10,1,2025-09-26 01:26:33,2025-09-26 06:38:37,0.0004309,382637.0,78111.97,0.0005025,446250.0,86334.85,1500077.5,0.0005025,446250.0,1500077.5,2025-09-26 06:38:37,2025-09-26 06:38:37,,,,1.166163843119053,1.1662489513559848,18724,18724
E4dqS7C8dcoRpgXA4povrhDy5iTYNca8xEmKngtPpump,2025-09-26 01:27:37,10,1,2025-09-26 01:27:37,2025-09-26 06:38:38,8.078e-05,80783.15,0.0,4.174e-06,4174.0,7612.48,272867.47,8.078e-05,80783.15,272867.47,2025-09-26 01:27:37,2025-09-26 01:27:37,rug,2025-09-26 02:37:15,93.76949740034662,1.0,1.0,0,0
6wsDtXnntGNuE4svjDUtaPV43MQ7FXfJwRnFWvL62J1H,2025-09-26 01:29:44,8,1,2025-09-26 01:29:44,2025-09-26 06:38:38,0.003094,3094131.0,272357.42,0.00428,4280679.0,320796.01,10334893.43,0.004657,4657178.0,10334893.43,2025-09-26 02:37:15,2025-09-26 02:37:15,,,,1.5051712992889463,1.5051651012836884,4051,4051
B5j83giFhJPpg3vES8g49SMciTkeAd9mx9fbpkAzcNJS,2025-09-26 01:48:46,8,1,2025-09-26 01:48:46,2025-09-26 07:39:01,0.004957,4957818.0,272405.4,0.002549,2549086.0,195126.02,10919918.8,0.004957,4957818.0,10919918.8,2025-09-26 01:48:46,2025-09-26 01:48:46,,,,1.0,1.0,0,0
7zRaBFYZz5nfj525z1ET2DdfYEFosPJXLJiy94n5pump,2025-09-26 01:49:50,9,1,2025-09-26 01:49:50,2025-09-26 07:39:01,0.0001679,167963.0,48261.13,3.553e-06,3553.0,7044.01,78948.74,0.0001679,167963.0,78948.74,2025-09-26 01:49:50,2025-09-26 01:49:50,rug,2025-09-26 03:37:33,97.89696247766527,1.0,1.0,0,0
CM65K38bqGePYkNQBjGRRDYMhyxgh9xTQg2HPQTFpump,2025-09-26 02:19:18,10,1,2025-09-26 02:19:18,2025-09-26 07:39:02,6.492e-05,64926.0,31642.24,0.0001493,149337.0,48236.88,1286653.7,0.000168,168072.0,1655449.25,2025-09-26 05:38:29,2025-09-26 05:38:29,,,,2.587800369685767,2.5886701783568986,11951,11951
YpxLFM4koHT6EvsB1j7ABAAFdqnQpHiJoWzmEiFKick,2025-09-26 02:24:35,9,1,2025-09-26 02:24:35,2025-09-26 07:39:04,0.0005357,535718.0,130340.31,0.0004454,445487.0,118123.4,114481.65,0.0005357,535718.0,127621.83,2025-09-26 02:24:35,2025-09-26 02:24:35,,,,1.0,1.0,0,0
asmmT7Ngvdp9WYcoGCTRmtepPgSsTV2J9hJ5juMpump,2025-09-26 02:25:40,10,1,2025-09-26 02:25:40,2025-09-26 07:39:05,3.238e-05,32388.12,0.0,3.399e-05,33993.77,0.0,380659.68,4.159e-05,41593.46,380659.68,2025-09-26 03:37:34,2025-09-26 03:37:34,rug,2025-09-26 03:37:34,0.0,1.2844348363187152,1.284219645968954,4314,4314
9JN8Ef4ZSZ5jiupUSBe5QPsdsy9YPQMjw7hw3iCzpump,2025-09-26 02:27:47,10,1,2025-09-26 02:27:47,2025-09-26 07:39:05,3.695e-05,36951.43,0.0,5.638e-06,5638.43,0.0,234364.71,3.695e-05,36951.43,234364.71,2025-09-26 02:27:47,2025-09-26 02:27:47,rug,2025-09-26 03:37:34,82.23274695534506,1.0,1.0,0,0
3d1qHSAkQhoN7kN1C6tvpAArCkXWxwYdBng6taXCDM6u,2025-09-26 02:28:50,9,1,2025-09-26 02:28:50,2025-09-26 05:38:30,8.675e-05,86755.0,36108.47,8.592e-05,85924.0,36034.74,1207287.19,8.745e-05,87459.0,1207287.19,2025-09-26 03:37:35,2025-09-26 03:37:35,,,,1.0080691642651298,1.0081148060630511,4125,4125
HAmJ8WmSZEoveBTFze5HcrtfTKxhky7xkmDkrViUpump,2025-09-26 02:37:11,10,1,2025-09-26 02:37:11,2025-09-26 05:38:31,3.137e-05,31379.0,20854.76,4.592e-06,4593.0,8014.1,324050.6,4.17e-05,41707.0,324050.6,2025-09-26 03:37:36,2025-09-26 03:37:36,,,,1.3292955052598023,1.3291373211383408,3625,3625
Dde3kgfE97FSCuYLpQHpJNLRcaFWXt6rnPcTc165pump,2025-09-26 02:38:23,10,1,2025-09-26 02:38:23,2025-09-26 06:38:45,3.949e-05,39491.44,0.0,1.129e-05,11290.69,0.0,294065.31,3.949e-05,39491.44,294065.31,2025-09-26 02:38:23,2025-09-26 02:38:23,rug,2025-09-26 04:38:04,69.00481134464422,1.0,1.0,0,0
3UnujSYSAinhTJsGmqMKqXWjkyb2qMqezFQgD7HkseXW,2025-09-26 02:55:19,9,1,2025-09-26 02:55:19,2025-09-26 06:38:45,8.129e-05,81039.0,41879.91,6.582e-05,65619.0,37681.06,87958.61,8.129e-05,81039.0,87958.61,2025-09-26 02:55:19,2025-09-26 02:55:19,,,,1.0,1.0,0,0
2283pGqMm4toas8Cr4rdnhmBpLBRg2H52Fh9zh7zpump,2025-09-26 02:55:49,10,1,2025-09-26 02:55:49,2025-09-26 06:38:45,7.975e-05,79752.58,0.0,3.522e-05,35224.0,22355.8,489579.29,7.975e-05,79752.58,489579.29,2025-09-26 02:55:49,2025-09-26 02:55:49,,,,1.0,1.0,0,0
3KuSj5VbdUCaSRXCXiUThNaJYjx4NPBbNNo4zmKzpump,2025-09-26 03:25:16,10,1,2025-09-26 03:25:16,2025-09-26 07:38:55,4.958e-05,49587.34,0.0,5.997e-06,5997.44,0.0,266615.77,4.958e-05,49587.34,266615.77,2025-09-26 03:25:16,2025-09-26 03:25:16,rug,2025-09-26 04:38:04,87.7511093182735,1.0,1.0,0,0
BKmYE8w1GEQ6khhLkvMj4ULvV4Gq7zLfJZSgsHE5pump,2025-09-26 03:26:21,8,1,2025-09-26 03:26:21,2025-09-26 07:38:56,0.001645,1645742.0,207898.41,0.001581,1581370.0,202944.21,472271.33,0.001645,1645742.0,518382.68,2025-09-26 03:26:21,2025-09-26 03:26:21,,,,1.0,1.0,0,0
3GTCUrfPbS5Ks6LuHPcQRnsn71QUKeRDrkugeRYrpump,2025-09-26 03:31:38,10,1,2025-09-26 03:31:38,2025-09-26 07:38:56,8.1e-05,81005.03,0.0,0.0001782,178224.0,51280.52,1152323.45,0.0003528,352882.0,1152323.45,2025-09-26 04:38:05,2025-09-26 04:38:05,,,,4.355555555555555,4.356297380545381,3987,3987
FSyuCSheYUgtaSDa9iJVdVjgVf24XwipMLgWmjEbpump,2025-09-26 03:54:53,10,1,2025-09-26 03:54:53,2025-09-26 05:38:33,4.515e-05,45157.74,0.0,2.829e-05,28295.0,19857.72,265475.49,4.515e-05,45157.74,265475.49,2025-09-26 03:54:53,2025-09-26 03:54:53,,,,1.0,1.0,0,0
3d3suDtLDqnXyA454EYCkAnhz33P55FAMCEk37Gppump,2025-09-26 04:00:26,9,1,2025-09-26 04:00:26,2025-09-26 05:38:33,1.982e-05,19822.0,16573.65,6.111e-05,61118.0,29125.4,186890.94,6.111e-05,61118.0,186890.94,2025-09-26 05:38:33,2025-09-26 05:38:33,,,,3.0832492431886984,3.083341741499344,5887,5887
8PMg4GeyHCY1AWctg4ByowPSq35Pu9ZJHfNR4nAcbonk,2025-09-26 04:14:07,9,1,2025-09-26 04:14:07,2025-09-26 06:38:35,4.724e-05,47245.0,22319.35,5.668e-06,5669.0,7766.0,170484.74,4.724e-05,47245.0,170484.74,2025-09-26 04:14:07,2025-09-26 04:14:07,,,,1.0,1.0,0,0
E7ErFx5dRoAxnDphWRmE8DjfJBr2fvjvnX3cgaj6pump,2025-09-26 04:19:24,8,1,2025-09-26 04:19:24,2025-09-26 06:38:36,0.001363,1363351.0,140083.57,0.001531,1531511.0,148148.41,397637.07,0.001531,1531511.0,411487.24,2025-09-26 06:38:36,2025-09-26 06:38:36,,,,1.1232575201760822,1.1233431449421316,8352,8352
CWWhjWDYtC5Qamm46vwdifrmGKsiRB1UbsQHvKRqBAGS,2025-09-26 04:26:51,9,1,2025-09-26 04:26:51,2025-09-26 06:38:36,9.83e-05,98189.0,55040.07,0.0001293,129160.0,61308.44,789866.9,0.0001293,129160.0,789866.9,2025-09-26 06:38:36,2025-09-26 06:38:36,,,,1.3153611393692777,1.3154222978134007,7905,7905
xTTmqprYBenEo1v2dQX9v3m8qcw44smwFSPJXjKBAGS,2025-09-26 04:32:12,10,1,2025-09-26 04:32:12,2025-09-26 06:38:37,3.558e-05,35590.0,21936.89,1.88e-05,18807.0,16448.9,119168.27,3.558e-05,35590.0,119168.27,2025-09-26 04:32:12,2025-09-26 04:32:12,,,,1.0,1.0,0,0
CkdaDCT94AKDcMQuoumDEKsC4DkFtxL6QTEwsKfTdaos,2025-09-26 04:32:42,8,1,2025-09-26 04:32:42,2025-09-26 06:38:37,0.0001471,147122.0,40771.33,0.0001399,139910.0,39916.54,241432.23,0.0001471,147122.0,241432.23,2025-09-26 04:32:42,2025-09-26 04:32:42,,,,1.0,1.0,0,0
Gtas1jTXjD4EpYqDFKk7cEaArFSdaUXKu6bGhbSvpump,2025-09-26 04:48:29,8,1,2025-09-26 04:48:29,2025-09-26 07:38:56,0.0001195,119534.0,42655.6,0.0001027,102719.0,39660.56,1613770.84,0.0001195,119534.0,1613770.84,2025-09-26 04:48:29,2025-09-26 04:48:29,,,,1.0,1.0,0,0
Bep8eTRp3VE2N6888mqykeEKA7bCkksMqhSzZxQ7pump,2025-09-26 05:02:04,10,1,2025-09-26 05:02:04,2025-09-26 07:38:56,3.189e-05,31897.69,0.0,6.807e-06,6807.08,0.0,168722.99,3.189e-05,31897.69,168722.99,2025-09-26 05:02:04,2025-09-26 05:02:04,rug,2025-09-26 07:38:56,78.65475070555033,1.0,1.0,0,0
BSnbyvE7zJcaxgrwwqt2qJUP1Kh2BHhhxoWK25yKpump,2025-09-26 05:03:07,8,1,2025-09-26 05:03:07,2025-09-26 07:38:57,0.0001779,177991.0,54691.16,0.0001864,186476.0,55861.51,293646.76,0.0001864,186476.0,316661.51,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,1.047779651489601,1.0476709496547578,9350,9350
EbLBfH6LByi2DNkoL8WNVrcRbKC12oJptNSuxohmfNh,2025-09-26 05:19:58,10,1,2025-09-26 05:19:58,2025-09-26 07:38:57,3.596e-05,35963.0,27264.61,3.866e-05,38663.0,28125.63,111904.71,3.866e-05,38663.0,111904.71,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,1.075083426028921,1.0750771626393794,8339,8339
BSmKbyHpyWVamsGv6Ja7xEqAyMwNn4TRsyX4hFxEpump,2025-09-26 05:27:21,10,1,2025-09-26 05:27:21,2025-09-26 07:38:57,4.392e-05,43922.87,0.0,0.0001221,122157.0,41192.92,280320.3,0.0001221,122157.0,280320.3,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,2.7800546448087435,2.7811707204014673,7896,7896
G9mRRd16qLYzbp7trdj7DFSZyLePM9DepaWnJJLwCUDF,2025-09-26 05:32:38,10,1,2025-09-26 05:32:38,2025-09-26 07:38:58,4.995e-05,49958.6,0.0,9.609e-05,96097.0,37001.17,593978.95,9.609e-05,96097.0,593978.95,2025-09-26 07:38:58,2025-09-26 07:38:58,,,,1.9237237237237237,1.9235326850632324,7580,7580
DrJnnTuBDLRZTQmtKgcBkFH3taLbGCNh9DBhWMkhpump,2025-09-26 05:37:53,10,1,2025-09-26 05:37:53,2025-09-26 07:38:58,8.07e-05,80705.08,0.0,0.0001599,159984.0,47503.85,348110.81,0.0001599,159984.0,348110.81,2025-09-26 07:38:58,2025-09-26 07:38:58,,,,1.9814126394052047,1.9823287456006486,7265,7265
C7DCrTuwQFtVAs7o1yhhixNPcGuentzztVwvqiHpKvvy,2025-09-26 06:23:17,9,1,2025-09-26 06:23:17,2025-09-26 06:23:17,0.001097,1097104.0,139803.42,0.001097,1097104.0,139803.42,340177.44,0.001097,1097104.0,340177.44,2025-09-26 06:23:17,2025-09-26 06:23:17,,,,1.0,1.0,0,0
HSx8kf4sNva8TNb3EF8RLo5apbYqRyRcWbFBwaDZpump,2025-09-26 06:25:26,10,1,2025-09-26 06:25:26,2025-09-26 06:25:26,1.517e-05,15178.68,0.0,1.517e-05,15178.68,0.0,53026.59,1.517e-05,15178.68,53026.59,2025-09-26 06:25:26,2025-09-26 06:25:26,,,,1.0,1.0,0,0
HbWh7D6P2ToPMaUHMMCeDzx6W4iSdYQYZqEYYhh5JXdr,2025-09-26 06:31:49,9,1,2025-09-26 06:31:49,2025-09-26 06:31:49,0.003449,3449379.0,278564.91,0.003449,3449379.0,278564.91,1150048.67,0.003449,3449379.0,1150048.67,2025-09-26 06:31:49,2025-09-26 06:31:49,,,,1.0,1.0,0,0
BUF3TvvZfCMMWaPZJMTGm5WWVmi2arQ9Swze4CPEbonk,2025-09-26 07:06:33,8,1,2025-09-26 07:06:33,2025-09-26 07:06:33,0.0002672,267216.0,54453.42,0.0002672,267216.0,54453.42,612000.92,0.0002672,267216.0,612000.92,2025-09-26 07:06:33,2025-09-26 07:06:33,,,,1.0,1.0,0,0
ECCQh8HccpTZ3g4mK6rUhqWGMvSr3XDya4oRqgiXpump,2025-09-26 07:24:16,10,1,2025-09-26 07:24:16,2025-09-26 07:24:16,1.827e-05,18279.13,0.0,1.827e-05,18279.13,0.0,130764.29,1.827e-05,18279.13,130764.29,2025-09-26 07:24:16,2025-09-26 07:24:16,,,,1.0,1.0,0,0
5e6nUextdJg54NSSUNN1SntnBjyga2NVXwmTotWCPqgJ,2025-09-26 07:33:38,10,1,2025-09-26 07:33:38,2025-09-26 07:33:38,4.588e-05,45885.0,22114.42,4.588e-05,45885.0,22114.42,108528.43,4.588e-05,45885.0,108528.43,2025-09-26 07:33:38,2025-09-26 07:33:38,,,,1.0,1.0,0,0
GkeUTuaFB4oZADaqiCo3yauHNx9SxUNn8euHptEEbonk,2025-09-26 07:45:26,8,1,2025-09-26 07:45:26,2025-09-26 07:45:26,4.659e-07,195679.0,111849.08,4.659e-07,195679.0,111849.08,59918.81,4.659e-07,195679.0,59918.81,2025-09-26 07:45:26,2025-09-26 07:45:26,,,,1.0,1.0,0,0
ByC7sCHFL4s96JnwhbnC27dyY9iTzsjYDvx3XGgopump,2025-09-26 07:49:37,10,1,2025-09-26 07:49:37,2025-09-26 07:49:37,8.013e-05,80138.07,0.0,8.013e-05,80138.07,0.0,237794.46,8.013e-05,80138.07,237794.46,2025-09-26 07:49:37,2025-09-26 07:49:37,,,,1.0,1.0,0,0
CnbALMqQdGKtcYrBk6f9DqMh8oCcsp6BvtXta8DVpump,2025-09-26 07:50:42,9,1,2025-09-26 07:50:42,2025-09-26 07:50:42,0.000161,160357.0,47179.93,0.000161,160357.0,47179.93,70005.99,0.000161,160357.0,70005.99,2025-09-26 07:50:42,2025-09-26 07:50:42,,,,1.0,1.0,0,0
9BD5C2TwGxUebxqvHzpDg44zfZbaMSyx4P6WHgEyRwQh,2025-09-26 08:00:12,8,1,2025-09-26 08:00:12,2025-09-26 08:00:12,0.00149,1490615.0,153510.14,0.00149,1490615.0,153510.14,11472148.43,0.00149,1490615.0,11472148.43,2025-09-26 08:00:12,2025-09-26 08:00:12,,,,1.0,1.0,0,0
